gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
895381083	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__5125	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	Desmognathus fuscus		SPECIES	Desmognathus fuscus (Rafinesque, 1820)	Desmognathus fuscus		US	Permars Run, Stuebenville, Jefferson Co., OH	Ohio	PRESENT	3	5ffa575c-fcd4-4583-9611-545f67b04316	40.3538	-80.6391							2011-11-09T00:00:00	9	11	2011	2431224	2431224	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 5125			2012-01-01T00:00:00	CC_BY_4_0		R., S. C., S., E. P. & S., S. A.			2023-01-24T16:32:54.333Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
895381082	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__5124	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	Desmognathus fuscus		SPECIES	Desmognathus fuscus (Rafinesque, 1820)	Desmognathus fuscus		US	Unnamed tributary of Permars Run, JEF-John Scott Hwy., Stuebenville, Jefferson Co., OH	Ohio	PRESENT	2	5ffa575c-fcd4-4583-9611-545f67b04316	40.3642	-80.6639							2011-11-09T00:00:00	9	11	2011	2431224	2431224	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 5124			2012-01-01T00:00:00	CC_BY_4_0		R., S. C., S., E. P. & S., S. A.			2023-01-24T16:32:54.333Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
895381081	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__6000	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	Pseudacris ornata		SPECIES	Pseudacris ornata (Holbrook, 1836)	Pseudacris ornata		US	1/2 mi. east of Gainsville, Alachua Co., Florida, USA	Florida	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	29.6538	-82.2587							1939-02-10T00:00:00	10	2	1939	2428148	2428148	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 6000			2013-01-01T00:00:00	CC_BY_4_0					2023-01-24T16:32:54.333Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
895381080	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__5115	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	Acris crepitans		SPECIES	Acris crepitans Baird, 1854	Acris crepitans		US	Stillwater River; Seibt Rd. Bridge, OH	Ohio	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	40.2503	-83.0002							1972-08-03T00:00:00	3	8	1972	2427616	2427616	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 5115			2012-01-01T00:00:00	CC_BY_4_0					2023-01-24T16:32:54.333Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
895381079	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__5068	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	Osteopilus septentrionalis		SPECIES	Osteopilus septentrionalis (Duméril & Bibron, 1841)	Osteopilus septentrionalis		BS	Green Cay; Bahama Islands		PRESENT	3	5ffa575c-fcd4-4583-9611-545f67b04316	24.0388	-77.1716							1965-03-19T00:00:00	19	3	1965	2428083	2428083	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 5068			2012-01-01T00:00:00	CC_BY_4_0		Valentine, B. D. (Barry D.) & Hamilton, R. W. (Robert W.)			2023-01-24T16:32:54.334Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
895381078	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__5067	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma laterale		SPECIES	Ambystoma laterale Hallowell, 1856	Ambystoma laterale		US	Twp. Rd. 141, 0.65mi. E of U.S. Rt. 23, 0.65mi. NE of U.S. Rt. 23/ S.R. 98 jct. at Waldo; Waldo Twp.; Marion Co.; Ohio	Ohio	PRESENT	5	5ffa575c-fcd4-4583-9611-545f67b04316	40.4668	-83.0613							1982-03-18T00:00:00	18	3	1982	2432014	2432014	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 5067			2012-01-01T00:00:00	CC_BY_4_0		Ciola, C. R. (Craig R.) & Ciola, K. (Kelli)			2023-01-24T16:32:54.334Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
895381077	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__5064	Animalia	Chordata	Amphibia	Caudata	Proteidae	Necturus	Necturus maculosus		SPECIES	Necturus maculosus (Rafinesque, 1818)	Necturus maculosus		US	mile 179.1, Lillard Mill below dam, at south bank, Duck River; Marshall Co., Tennessee	Tennessee	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	35.5865	-86.7838							1984-11-11T00:00:00	11	11	1984	2432048	2432048	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 5064			2012-01-01T00:00:00	CC_BY_4_0		Cavender, T. (Ted) & Young, K. (Keith)			2023-01-24T16:32:54.334Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
895381076	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__5059	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma jeffersonianum		SPECIES	Ambystoma jeffersonianum (Green, 1827)	Ambystoma jeffersonianum		US	Warren Co., Ohio	Ohio	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	39.4276	-84.1668							1962-03-17T00:00:00	17	3	1962	2431962	2431962	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 5059			2012-01-01T00:00:00	CC_BY_4_0		Brubaker, J. A. & Moore, F. J. (Frank J.)			2023-01-24T16:32:54.334Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
895381075	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__2239	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla			GENUS	Hyla Laurenti, 1768	Hyla		US	Micanopy, Alachua Co., Florida	Florida	PRESENT	6	5ffa575c-fcd4-4583-9611-545f67b04316	28.7505	-82.5001							1933-02-22T00:00:00	22	2	1933	2423589		PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 2239			2012-01-01T00:00:00	CC_BY_4_0		Walker, C. F. (Charles F.) & Dury, R. (Ralph)			2023-01-24T16:32:54.334Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
861695070	3d84f407-8a76-473a-b8c8-54a58d5f581b	urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Amphibians__990	Animalia	Chordata	Amphibia	Caudata	Proteidae	Necturus	Necturus maculosus		SPECIES	Necturus maculosus (Rafinesque, 1818)	Necturus maculosus		US	Scioto River, Marion Co., Ohio	Ohio	PRESENT	1	5ffa575c-fcd4-4583-9611-545f67b04316	40.5607	-83.2567							1938-04-04T00:00:00	4	4	1938	2432048	2432048	PRESERVED_SPECIMEN	Ohio State University - Amphibian Division, Columbus, OH (OSUM)	Amphibians	OSUM Amphibians 990			2012-01-01T00:00:00	CC_BY_4_0		Thomas, M. W. (Marian W.)			2023-01-24T16:32:54.124Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
